iter	Passed	Remaining
0	145	145584
1	151	75479
2	156	52130
3	161	40257
4	167	33366
5	173	28698
6	179	25427
7	183	22805
8	189	20869
9	194	19260
10	199	17913
11	204	16820
12	208	15814
13	212	14976
14	216	14222
15	221	13628
16	225	13041
17	229	12545
18	234	12111
19	239	11730
20	243	11367
21	249	11075
22	253	10766
23	257	10477
24	263	10257
25	267	10006
26	271	9782
27	275	9581
28	280	9391
29	284	9197
30	288	9024
31	294	8899
32	298	8747
33	302	8606
34	308	8499
35	312	8362
36	316	8236
37	322	8174
38	327	8070
39	331	7959
40	336	7877
41	340	7773
42	344	7676
43	349	7590
44	354	7520
45	358	7429
46	362	7349
47	367	7286
48	371	7215
49	376	7161
50	381	7100
51	386	7045
52	391	6997
53	396	6943
54	401	6905
55	407	6861
56	412	6820
57	419	6805
58	423	6759
59	428	6710
60	433	6673
61	437	6620
62	441	6571
63	447	6538
64	451	6490
65	455	6442
66	459	6399
67	464	6362
68	469	6328
69	473	6289
70	478	6262
71	483	6226
72	487	6188
73	492	6166
74	497	6130
75	501	6097
76	506	6069
77	510	6033
78	515	6004
79	519	5978
80	523	5944
81	528	5916
82	531	5866
83	535	5838
84	539	5812
85	544	5782
86	548	5755
87	552	5723
88	554	5679
89	558	5643
90	561	5610
91	565	5580
92	568	5544
93	571	5506
94	573	5467
95	576	5430
96	580	5401
97	583	5367
98	585	5328
99	587	5290
100	589	5249
101	591	5208
102	593	5169
103	595	5132
104	597	5094
105	599	5056
106	601	5019
107	603	4982
108	605	4945
109	606	4909
110	609	4878
111	611	4846
112	613	4812
113	614	4779
114	616	4747
115	618	4714
116	620	4680
117	621	4648
118	623	4618
119	625	4589
120	627	4560
121	629	4530
122	631	4502
123	633	4474
124	635	4445
125	636	4417
126	639	4393
127	641	4367
128	643	4342
129	645	4316
130	646	4290
131	648	4263
132	650	4237
133	651	4212
134	653	4190
135	655	4166
136	658	4145
137	661	4130
138	663	4110
139	665	4088
140	667	4065
141	669	4042
142	671	4023
143	673	4002
144	675	3980
145	676	3958
146	678	3937
147	680	3916
148	682	3895
149	684	3880
150	686	3860
151	688	3841
152	690	3822
153	692	3803
154	694	3783
155	695	3765
156	698	3748
157	700	3731
158	702	3714
159	704	3696
160	705	3676
161	707	3658
162	708	3640
163	710	3622
164	712	3606
